City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
230,Nalut,LY,30.3333,10.85,74.8,49,0,15.48,clear sky,2021-07-28 03:32:13
231,Broken Hill,AU,-31.95,141.4333,64.11,34,0,24.16,clear sky,2021-07-28 03:31:24
232,Luganville,VU,-15.5333,167.1667,78.51,81,83,13.89,broken clouds,2021-07-28 03:32:13
233,Atar,MR,20.5169,-13.0499,84.24,36,19,4.65,few clouds,2021-07-28 03:32:14
234,Tautira,PF,-17.7333,-149.15,78.82,70,79,7.87,broken clouds,2021-07-28 03:32:14
235,Mpika,ZM,-11.8343,31.4529,44.87,67,87,6.46,overcast clouds,2021-07-28 03:32:14
236,Zyryanka,RU,65.75,150.85,44.19,83,100,13.65,overcast clouds,2021-07-28 03:32:15
237,Hay River,CA,60.8156,-115.7999,64.38,59,40,3.44,scattered clouds,2021-07-28 03:30:05
238,Yonago,JP,35.4333,133.3333,85.93,62,40,4.61,scattered clouds,2021-07-28 03:32:15
239,Quatre Cocos,MU,-20.2078,57.7625,68.11,89,98,20.15,moderate rain,2021-07-28 03:32:16
240,Sokolo,ML,14.7328,-6.1219,82.18,70,99,8.12,overcast clouds,2021-07-28 03:32:16
241,Beatrice,US,40.2681,-96.747,84.0,83,1,0.0,clear sky,2021-07-28 03:32:16
242,Souillac,MU,-20.5167,57.5167,68.38,94,75,14.97,moderate rain,2021-07-28 03:32:17
243,Murindo,CO,6.9848,-76.7544,74.32,95,100,1.01,overcast clouds,2021-07-28 03:32:17
244,Tevaitoa,PF,-16.7833,-151.5,77.27,77,37,8.9,light rain,2021-07-28 03:32:18
245,Mount Darwin,ZW,-16.7725,31.5838,45.09,94,1,3.2,clear sky,2021-07-28 03:32:18
246,Namibe,AO,-15.1961,12.1522,64.11,82,0,5.77,clear sky,2021-07-28 03:32:18
247,Hangal,IN,14.7667,75.1333,74.39,79,96,16.46,overcast clouds,2021-07-28 03:32:19
248,Faanui,PF,-16.4833,-151.75,77.81,75,63,8.3,light rain,2021-07-28 03:29:55
249,Tayu,ID,-6.5397,111.0518,86.59,50,20,9.28,few clouds,2021-07-28 03:32:19
250,Tarbagatay,RU,51.4803,107.3602,74.73,46,20,4.83,few clouds,2021-07-28 03:32:19
251,Khatanga,RU,71.9667,102.5,87.49,35,9,18.14,clear sky,2021-07-28 03:32:20
